InvoiceNo,Item
10001,Power Bank
10002,Desk Lamp
10003,Router
10003,Power Bank
10004,Scanner
10004,RAM
10004,Pen
10004,Headphones
10004,Laptop
10004,Router
10005,Tablet
10006,Monitor
10006,Stylus
10006,RAM
10006,Laptop
10006,Microphone
10007,Scanner
10008,Monitor
10008,Stylus
10008,Mouse
10009,Tablet
10010,Smartphone
10010,Tripod
10010,Desk Lamp
10010,Pen
10011,Pen
10011,Keyboard
10012,Router
10012,Keyboard
10013,Camera
10013,Power Bank
10013,HDMI Cable
10013,Earbuds
10013,Pen
10014,Tablet
10014,Charger
10015,Desk Lamp
10015,Monitor
10016,GPU
10016,Monitor
10017,Monitor
10018,USB Drive
10018,SSD
10018,Keyboard
10018,Scanner
10018,Pen
10019,HDMI Cable
10019,Microphone
10019,Smartphone
10020,Desk Lamp
10020,Mouse
10020,Smartwatch
10021,Earbuds
10021,Headphones
10021,Smartphone
10021,Router
10021,Tripod
10021,Power Bank
10022,Desk Lamp
10022,Desk Mat
10022,Notebook
10022,USB Drive
10023,Router
10024,Desk Mat
10025,SSD
10026,Hard Drive
10026,Router
10026,Printer
10026,Notebook
10027,Headphones
10027,Smartwatch
10027,Smartphone
10027,Mouse
10027,Power Bank
10028,Desk Lamp
10028,Tripod
10028,Charger
10029,GPU
10029,Webcam
10030,Hard Drive
10031,Power Bank
10031,Notebook
10032,Tablet
10032,Router
10032,Power Bank
10032,Smartphone
10032,Notebook
10032,Webcam
10033,Desk Lamp
10033,Microphone
10033,HDMI Cable
10033,Notebook
10033,Webcam
10033,Smartwatch
10034,Stylus
10034,Mouse
10035,Monitor
10035,Laptop
10035,Desk Mat
10035,Printer
10036,Power Bank
10036,Smartphone
10036,Hard Drive
10037,RAM
10037,Pen
10037,Charger
10038,Desk Lamp
10038,GPU
10039,Notebook
10040,Tablet
10041,Tablet
10041,Charger
10041,Router
10041,Desk Mat
10041,Backpack
10042,Mouse
10042,Headphones
10042,Printer
10043,Camera
10043,Desk Lamp
10044,Printer
10044,Desk Mat
10044,Charger
10044,Mouse
10044,Tablet
10044,Router
10045,Hard Drive
10046,Smartphone
10046,Laptop
10046,Hard Drive
10047,Keyboard
10047,Headphones
10047,Desk Mat
10047,HDMI Cable
10047,Mouse
10047,Desk Lamp
10048,Desk Lamp
10048,GPU
10049,Laptop
10049,Headphones
10049,Tablet
10049,Hard Drive
10049,Keyboard
10050,SSD
10050,HDMI Cable
10050,Microphone
10050,Router
10050,Camera
10050,Monitor
10051,GPU
10051,Notebook
10051,HDMI Cable
10052,Desk Lamp
10052,GPU
10052,Router
10052,Monitor
10052,Microphone
10053,USB Drive
10053,Desk Lamp
10053,HDMI Cable
10053,Microphone
10053,Hard Drive
10053,Keyboard
10054,Notebook
10054,Monitor
10054,Router
10054,SSD
10055,Laptop
10055,Scanner
10055,RAM
10055,Tablet
10056,Camera
10056,Charger
10056,Tripod
10057,Desk Mat
10057,Power Bank
10057,Camera
10057,Stylus
10057,SSD
10057,Keyboard
10058,Scanner
10058,Backpack
10058,Smartphone
10058,Tripod
10058,Stylus
10059,Smartphone
10059,RAM
10060,Mouse
10060,Monitor
10061,Mouse
10061,Microphone
10061,HDMI Cable
10061,Charger
10061,Stylus
10061,Monitor
10062,USB Drive
10062,Keyboard
10062,Scanner
10062,Smartwatch
10062,Hard Drive
10063,Earbuds
10063,Tripod
10063,Charger
10064,Monitor
10064,Charger
10064,Hard Drive
10064,Webcam
10065,Earbuds
10065,Webcam
10066,GPU
10066,Monitor
10066,Earbuds
10066,Router
10066,Mouse
10066,HDMI Cable
10067,Microphone
10068,Keyboard
10068,HDMI Cable
10068,Stylus
10069,Notebook
10069,RAM
10069,Microphone
10070,Notebook
10070,Pen
10070,HDMI Cable
10070,Charger
10070,Camera
10070,Smartphone
10071,Monitor
10071,Scanner
10071,GPU
10071,Microphone
10072,Pen
10073,Mouse
10073,Scanner
10074,Stylus
10074,Scanner
10074,Mouse
10074,Charger
10074,Microphone
10074,Headphones
10075,Tablet
10075,Webcam
10075,Smartwatch
10075,Desk Mat
10075,Camera
10075,Pen
10076,Scanner
10076,Mouse
10076,Keyboard
10076,Stylus
10076,Tripod
10076,Backpack
10077,Power Bank
10077,Pen
10078,Webcam
10078,Charger
10078,Hard Drive
10079,Smartphone
10079,Monitor
10079,Router
10079,Power Bank
10080,Desk Lamp
10080,SSD
10080,Printer
10080,Mouse
10081,Laptop
10081,Keyboard
10081,GPU
10081,Backpack
10081,SSD
10081,RAM
10082,Desk Lamp
10082,Stylus
10082,Power Bank
10082,Router
10083,Keyboard
10083,Monitor
10083,Tripod
10084,Desk Lamp
10084,Printer
10084,Hard Drive
10084,Stylus
10085,Charger
10085,Smartwatch
10086,Laptop
10086,Smartphone
10086,Smartwatch
10086,GPU
10087,Smartphone
10087,Headphones
10087,Camera
10087,Laptop
10087,Desk Mat
10087,Charger
10088,Charger
10089,Backpack
10089,Scanner
10089,Power Bank
10089,Headphones
10089,Desk Lamp
10090,Tablet
10090,Mouse
10090,Camera
10090,GPU
10090,Webcam
10091,Tablet
10091,Monitor
10091,RAM
10091,Microphone
10091,Notebook
10092,Tripod
10092,Hard Drive
10092,Stylus
10093,HDMI Cable
10094,GPU
10094,Tablet
10094,Desk Mat
10094,USB Drive
10095,Desk Mat
10095,RAM
10095,Scanner
10095,Power Bank
10095,Laptop
10095,Pen
10096,Smartwatch
10096,Monitor
10096,Power Bank
10096,Hard Drive
10096,Notebook
10096,Desk Lamp
10097,Hard Drive
10097,SSD
10097,Scanner
10097,USB Drive
10098,Monitor
10098,Notebook
10098,Printer
10098,Webcam
10098,Laptop
10099,Smartwatch
10099,Tripod
10099,Laptop
10100,GPU
10100,Stylus
10101,Webcam
10101,Mouse
10101,Keyboard
10101,Smartwatch
10102,SSD
10102,USB Drive
10102,Smartphone
10102,Laptop
10103,Laptop
10103,Stylus
10103,Smartphone
10103,Tripod
10103,Camera
10104,Keyboard
10104,Tripod
10104,RAM
10105,Webcam
10105,Hard Drive
10105,Microphone
10105,GPU
10106,Smartwatch
10106,Desk Lamp
10107,RAM
10107,Microphone
10107,Tablet
10107,HDMI Cable
10108,Headphones
10108,Scanner
10108,GPU
10108,RAM
10108,SSD
10108,Desk Mat
10109,Stylus
10109,Monitor
10109,Smartphone
10110,Desk Lamp
10110,Keyboard
10111,Webcam
10112,Charger
10112,Monitor
10112,Hard Drive
10113,RAM
10113,Smartphone
10113,Tablet
10113,GPU
10114,Mouse
10114,SSD
10114,Tripod
10114,Keyboard
10114,Router
10115,Desk Mat
10115,Scanner
10115,Monitor
10116,Scanner
10116,Stylus
10116,Charger
10116,Microphone
10117,Scanner
10117,Monitor
10118,Laptop
10119,GPU
10119,Microphone
10119,Tripod
10119,Camera
10119,Earbuds
10120,Notebook
10120,Smartphone
10120,SSD
10120,Mouse
10120,Monitor
10120,Tablet
10121,Hard Drive
10122,SSD
10122,Backpack
10122,Desk Mat
10122,Tablet
10122,GPU
10122,Smartwatch
10123,Router
10123,Scanner
10124,Pen
10124,Smartwatch
10124,Router
10124,Webcam
